,Aira_caryophyllea,Anagallis_arvensis,Asteraceae_sp.,Avena_barbata,Avena_fatua,Brachypodium_distachyon,Briza_minor,Bromus_diandrus,Bromus_hordeaceus,Centaurea_solstitialis,Convolvulus_arvensis,Conyza_sp.,Crepis_vesicaria,Elymus_glaucus,Epilobium_brachycarpum,Erodium_botrys,Filago_gallica,Geranium_dissectum,Hemizonia_congesta,Hypochaeris_radicata,Lactuca_serriola,Lolium_multiflorum,Lotus_purshianus,Melilotus_indica,Nassella_pulchra,Sherardia_arvensis,Silybum_marianum,Sisyrinchium_bellum,Sonchus_asper,Torilis_nodosa,Trifolium_hirtum,Vicia_sativa,Vulpia_bromoides,Vulpia_myuros
J11,0,5,3,0,10,0,0,0,5,0,0,0,2,0,0,10,0,20,2,0,0,50,5,0,0,1,0,0,0,5,0,5,0,0
J110,0,0,0,20,20,1,5,3,5,0,0,0,0,0,0,15,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,0,0,0
J12,0,0,0,5,10,0,2,0,20,1,0,0,7,0,1,20,0,20,3,0,0,75,5,0,0,0,0,0,0,2,0,0,0,2
J13,0,0,1,5,10,0,1,0,10,0,0,0,2,0,0,40,0,0,0,0,0,75,1,0,0,0,0,0,1,2,2,0,0,50
J14,20,0,0,5,20,0,0,0,10,0,0,0,5,0,0,35,0,0,5,0,0,7,1,0,0,0,0,0,0,1,0,0,0,1
J15,2,0,2,35,35,0,2,2,5,0,0,0,5,0,1,25,0,10,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
J16,5,5,0,5,15,0,0,0,5,0,0,0,10,0,0,15,7,5,10,1,0,25,3,0,0,0,1,0,0,2,0,0,0,5
J17,0,0,1,7,5,0,5,0,10,0,0,0,15,0,0,15,0,0,0,0,0,75,0,0,5,0,0,0,0,2,0,1,0,5
J18,0,2,1,30,35,0,0,0,3,1,0,0,2,0,0,20,0,10,0,0,0,30,0,0,0,0,0,0,0,2,0,1,0,0
J19,30,3,1,10,10,1,0,0,3,0,0,0,5,0,0,20,0,0,5,0,0,40,0,0,0,0,1,0,0,2,0,0,0,10
J21,5,0,0,10,10,0,0,0,25,0,0,0,0,0,0,20,1,0,5,0,0,45,0,0,0,0,0,0,0,0,0,3,0,20
J210,0,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,1,1,15,0,0,90,0,5,0,5,0,0,5,2,5
J22,0,0,0,0,15,85,3,5,15,0,0,0,3,0,0,7,0,0,2,0,0,35,0,15,2,0,0,5,0,0,0,3,0,0
J23,0,0,0,0,3,0,1,1,10,0,0,0,5,5,0,3,0,0,0,0,0,60,1,5,90,0,2,1,1,5,0,3,10,10
J24,0,2,0,0,1,0,2,0,15,4,0,0,5,0,5,0,2,0,5,2,0,60,2,5,3,0,4,0,0,0,1,3,0,25
J25,0,0,0,0,0,0,0,5,20,0,0,0,1,0,0,0,0,5,0,0,1,30,0,0,85,0,3,0,0,2,0,3,0,2
J26,0,0,0,0,0,0,1,7,10,0,0,1,2,0,0,7,3,10,10,5,1,25,0,0,15,7,0,0,5,0,0,0,0,5
J27,0,1,0,0,0,0,0,3,2,0,0,0,3,0,3,0,2,5,10,0,0,30,0,1,15,0,10,1,0,3,0,2,0,5
J28,0,0,5,0,0,1,0,2,0,0,0,1,8,0,1,0,0,5,0,0,1,75,0,0,10,0,5,0,1,3,0,0,1,2
J29,0,0,1,0,0,0,0,0,7,0,0,0,4,0,3,0,0,5,0,0,0,50,0,0,80,0,7,0,2,2,0,5,0,15
J31,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,5,0,0,1,20,0,0,55,0,10,0,0,0,1,2,5,50
J310,0,0,0,5,5,3,1,7,3,0,0,0,10,3,2,5,1,0,0,5,1,45,0,0,25,1,3,0,1,0,0,0,0,0
J32,0,0,0,3,3,0,0,0,15,0,0,0,2,0,0,7,0,0,1,0,0,25,0,5,20,0,5,0,0,1,2,1,10,0
J33,0,0,0,20,0,4,5,10,15,4,0,0,1,0,0,15,0,0,0,0,0,0,0,0,7,0,5,0,0,1,0,2,5,10
J34,2,0,0,7,7,20,2,3,10,35,0,0,4,0,0,10,0,5,1,15,0,20,0,7,7,0,20,0,0,0,1,0,1,0
J35,1,0,0,15,10,50,0,0,7,0,0,0,4,0,0,25,0,5,3,10,0,15,0,5,3,0,0,0,0,0,2,1,0,0
J36,0,0,0,5,2,0,5,0,0,0,0,0,0,0,0,1,1,5,25,0,0,20,0,5,25,0,10,0,3,0,0,1,20,20
J37,0,1,0,3,0,15,0,0,15,0,0,0,0,0,0,20,0,5,5,0,1,60,0,0,20,1,4,0,3,1,2,0,10,50
J38,0,1,5,20,0,10,1,1,5,3,0,0,7,0,0,5,0,0,4,3,0,10,1,5,5,1,30,0,0,0,0,0,0,15
J39,0,0,0,15,0,2,0,3,10,0,3,0,5,0,1,0,0,5,0,20,1,30,0,3,10,1,20,0,0,1,1,2,0,5
